"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2021","28.008","27.953","28.157","27.567","-","0.19%"
"Jun 13, 2021","27.955","28.050","28.122","27.948","-","-0.68%"
"Jun 11, 2021","28.146","28.145","28.445","28.025","75.34K","0.41%"
"Jun 10, 2021","28.031","27.905","28.180","27.475","82.06K","0.10%"
"Jun 09, 2021","28.002","27.735","28.145","27.620","64.18K","0.98%"
"Jun 08, 2021","27.731","28.025","28.120","27.610","70.19K","-1.02%"
"Jun 07, 2021","28.018","27.910","28.085","27.595","63.09K","0.50%"
"Jun 06, 2021","27.878","27.918","27.918","27.863","-","-0.06%"
"Jun 04, 2021","27.896","27.530","27.980","27.310","76.80K","1.52%"
"Jun 03, 2021","27.477","28.295","28.370","27.090","106.48K","-2.58%"
"Jun 02, 2021","28.204","27.995","28.320","27.765","53.89K","0.36%"
"Jun 01, 2021","28.102","28.060","28.710","27.930","108.88K","-0.32%"
"May 31, 2021","28.192","28.055","28.258","27.997","-","0.48%"
"May 30, 2021","28.058","28.060","28.085","28.035","-","0.16%"
"May 28, 2021","28.014","27.980","28.095","27.480","66.46K","0.26%"
"May 27, 2021","27.940","27.765","27.995","27.575","56.81K","0.23%"
"May 26, 2021","27.877","28.105","28.340","27.685","65.97K","-0.64%"
"May 25, 2021","28.056","27.880","28.160","27.545","69.31K","0.54%"
"May 24, 2021","27.905","27.690","28.015","27.550","51.12K","0.90%"
"May 23, 2021","27.657","27.648","27.677","27.598","-","0.62%"
"May 21, 2021","27.486","27.870","28.195","27.265","78.64K","-2.07%"
"May 20, 2021","28.067","27.840","28.125","27.490","55.96K","0.15%"
"May 19, 2021","28.025","28.300","28.365","27.425","109.07K","-1.09%"
"May 18, 2021","28.333","28.325","28.900","28.120","77.21K","0.21%"
"May 17, 2021","28.274","27.515","28.435","27.440","86.80K","2.51%"
"May 16, 2021","27.582","27.483","27.610","27.455","-","0.79%"
"May 14, 2021","27.365","27.190","27.595","26.920","58.61K","1.13%"
"May 13, 2021","27.059","27.095","27.330","26.780","63.63K","-0.68%"
"May 12, 2021","27.244","27.760","27.830","27.030","77.86K","-1.53%"
"May 11, 2021","27.667","27.400","27.780","27.180","62.13K","0.64%"
"May 10, 2021","27.492","27.680","28.005","27.320","65.17K","-0.99%"
"May 09, 2021","27.767","27.560","27.780","27.560","-","1.06%"
"May 07, 2021","27.477","27.450","27.800","27.230","80.78K","0.00%"
"May 06, 2021","27.477","26.590","27.585","26.245","90.93K","3.60%"
"May 05, 2021","26.522","26.595","26.710","26.165","40.71K","-0.14%"
"May 04, 2021","26.558","27.015","27.240","26.160","76.95K","-1.49%"
"May 03, 2021","26.960","25.990","27.115","25.850","77.32K","4.02%"
"May 02, 2021","25.918","25.980","25.983","25.890","-","0.17%"
"Apr 30, 2021","25.873","26.170","26.275","25.855","55.51K","-0.81%"
"Apr 29, 2021","26.085","26.300","26.580","25.745","81.33K","-0.13%"
"Apr 28, 2021","26.118","26.380","26.380","25.875","56.13K","-1.26%"
"Apr 27, 2021","26.450","26.355","26.560","26.140","46.97K","0.77%"
"Apr 26, 2021","26.247","26.090","26.320","25.935","35.75K","0.97%"
"Apr 25, 2021","25.995","25.992","26.045","25.965","-","-0.46%"
"Apr 23, 2021","26.114","26.240","26.510","25.930","19.01K","-0.40%"
"Apr 22, 2021","26.219","26.700","26.700","26.055","20.47K","-1.45%"
"Apr 21, 2021","26.606","25.900","26.765","25.840","19.15K","2.83%"
"Apr 20, 2021","25.875","25.910","26.175","25.765","15.12K","0.01%"
"Apr 19, 2021","25.873","26.110","26.310","25.715","9.95K","-0.44%"
"Apr 18, 2021","25.988","26.035","26.062","25.973","-","-0.58%"
"Apr 16, 2021","26.140","25.960","26.410","25.835","8.13K","0.55%"
"Apr 15, 2021","25.998","25.495","26.100","25.420","8.45K","1.72%"
"Apr 14, 2021","25.559","25.420","25.610","25.275","13.93K","0.38%"
"Apr 13, 2021","25.462","24.875","25.575","24.725","17.85K","2.25%"
"Apr 12, 2021","24.901","25.325","25.360","24.760","13.27K","-1.60%"
"Apr 11, 2021","25.305","25.315","25.320","25.253","-","-0.21%"
"Apr 09, 2021","25.359","25.575","25.575","25.040","12.86K","-1.01%"
"Apr 08, 2021","25.618","25.245","25.695","25.060","18.85K","1.33%"
"Apr 07, 2021","25.282","25.240","25.355","24.945","6.24K","0.08%"
"Apr 06, 2021","25.263","24.950","25.385","24.845","4.78K","1.80%"
"Apr 05, 2021","24.816","25.075","25.170","24.705","2.43K","-0.92%"
"Apr 04, 2021","25.047","25.003","25.062","24.965","-","0.26%"
"Apr 01, 2021","24.983","24.495","25.075","24.325","63.17K","1.67%"
"Mar 31, 2021","24.572","24.095","24.585","23.785","2.89K","1.63%"
"Mar 30, 2021","24.177","24.745","24.790","23.925","4.31K","-2.55%"
"Mar 29, 2021","24.810","25.135","25.165","24.530","2.75K","-1.08%"
"Mar 28, 2021","25.082","25.133","25.145","25.038","-","-0.28%"
"Mar 26, 2021","25.152","25.165","25.350","24.970","3.07K","0.28%"
"Mar 25, 2021","25.081","25.220","25.285","24.475","4.20K","-0.72%"
"Mar 24, 2021","25.264","25.130","25.415","25.050","2.94K","0.03%"
"Mar 23, 2021","25.257","25.860","25.895","25.085","3.55K","-2.09%"
"Mar 22, 2021","25.795","26.355","26.355","25.485","2.82K","-0.61%"
"Mar 21, 2021","25.953","26.337","26.337","25.933","-","-1.50%"
"Mar 19, 2021","26.348","26.175","26.390","25.980","2.55K","-0.11%"
"Mar 18, 2021","26.378","26.490","26.755","25.905","2.06K","1.12%"
"Mar 17, 2021","26.086","26.050","26.635","25.845","1.60K","0.21%"
"Mar 16, 2021","26.031","26.360","26.435","25.935","2.04K","-1.08%"
"Mar 15, 2021","26.316","26.085","26.400","25.890","1.73K","0.99%"
"Mar 14, 2021","26.058","25.983","26.157","25.977","-","0.48%"
"Mar 12, 2021","25.934","26.205","26.245","25.470","2.40K","-1.08%"
"Mar 11, 2021","26.216","26.310","26.560","25.925","3.45K","0.23%"
"Mar 10, 2021","26.155","26.070","26.340","25.680","2.06K","-0.21%"
"Mar 09, 2021","26.210","25.260","26.240","25.155","3.14K","3.63%"
"Mar 08, 2021","25.293","25.430","25.945","25.015","3.90K","-0.77%"
"Mar 07, 2021","25.490","25.390","25.615","25.390","-","0.68%"
"Mar 05, 2021","25.318","25.320","25.520","24.880","3.39K","-0.69%"
"Mar 04, 2021","25.495","26.245","26.395","25.155","4.91K","-3.49%"
"Mar 03, 2021","26.416","26.880","26.890","25.905","3.39K","-1.82%"
"Mar 02, 2021","26.907","26.590","26.980","25.850","2.43K","0.75%"
"Mar 01, 2021","26.706","26.695","27.185","26.540","2.40K","-0.47%"
"Feb 28, 2021","26.832","26.668","26.840","26.630","-","1.37%"
"Feb 26, 2021","26.470","27.530","27.665","26.250","3.26K","-4.50%"
"Feb 25, 2021","27.716","28.020","28.350","27.400","3.09K","-0.85%"
"Feb 24, 2021","27.954","27.810","28.110","27.480","2.14K","0.66%"
"Feb 23, 2021","27.772","28.335","28.475","27.500","2.36K","-1.38%"
"Feb 22, 2021","28.161","27.635","28.345","27.410","2.10K","2.49%"
"Feb 21, 2021","27.477","27.308","27.630","27.308","-","0.59%"
"Feb 19, 2021","27.316","27.115","27.745","26.200","1.84K","0.67%"
"Feb 18, 2021","27.134","27.545","27.590","26.965","1.08K","-0.84%"
"Feb 17, 2021","27.363","27.175","27.515","26.975","1.13K","-0.04%"
"Feb 16, 2021","27.374","27.595","28.095","26.980","3.21K","-1.08%"
"Feb 15, 2021","27.672","27.503","27.802","27.468","-","0.59%"
"Feb 14, 2021","27.510","27.395","27.615","27.395","-","0.49%"
"Feb 12, 2021","27.377","27.000","27.540","27.000","1.46K","0.98%"
"Feb 11, 2021","27.110","27.055","27.385","26.835","1.62K","-0.08%"
"Feb 10, 2021","27.132","27.315","27.565","27.045","1.29K","-1.15%"
"Feb 09, 2021","27.449","27.480","27.800","27.245","2.46K","-0.58%"
"Feb 08, 2021","27.608","27.325","27.710","26.955","1.57K","0.97%"
"Feb 07, 2021","27.343","27.027","27.390","26.825","-","1.02%"
"Feb 05, 2021","27.067","26.455","27.150","26.340","2.94K","2.93%"
"Feb 04, 2021","26.297","26.720","26.785","26.000","1.57K","-2.44%"
"Feb 03, 2021","26.956","26.825","27.250","26.625","3.37K","1.93%"
"Feb 02, 2021","26.446","28.830","28.925","26.400","3.39K","-9.93%"
"Feb 01, 2021","29.361","28.415","30.015","28.300","7.36K","1.88%"
"Jan 31, 2021","28.820","27.055","29.223","27.055","-","6.76%"
